EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,182,1482,182,1099,100,74.15654521,1571303972,432289731.5,485039.5349,3680343.598
10,ALASKA,43,39,33,18,76.74418605,46.15384615,120734199.4,8954717.305,97717.61524,656.3469065
9,AMERICAN SAMOA,4,3,4,2,100,66.66666667,12402076.78,2384635.67,246.8189486,205.8997397
9,ARIZONA,66,107,64,79,96.96969697,73.8317757,272917501.6,12631392.77,2172763.44,1562.880599
6,ARKANSAS,118,690,117,689,99.15254237,99.85507246,500985704.7,38224231.49,248471.729,12010.69666
9,CALIFORNIA,273,420,236,202,86.44688645,48.0952381,4020266337,2995772.219,15508398.79,39829.56684
8,COLORADO,124,388,118,225,95.16129032,57.98969072,523087597.3,2005776182,125988.6369,14872.42998
1,CONNECTICUT,99,83,99,79,100,95.18072289,97883793.84,93906048.51,1043023.225,10391.79011
3,DELAWARE,17,40,16,34,94.11764706,85,201026826.6,42377717.31,322372.7885,841256.8474
3,DISTRICT OF COLUMBIA,4,9,4,7,100,77.77777778,27147002.64,104231.6109,65429.63313,370.1898719
4,FLORIDA,222,281,190,234,85.58558559,83.27402135,3814974694,93617047.99,902624.5793,26050.96604
4,GEORGIA,207,870,201,584,97.10144928,67.12643678,182921085.8,57998086.76,1084829542,11293.86273
9,GUAM,6,13,5,6,83.33333333,46.15384615,6131683.006,0,2361.6302,0
6,GULF OF MEXICO,,3,,3,,100,,0,,0
4,GULF OF MEXICO EAST,,5,,0,,0,,,,
9,HAWAII,20,110,18,22,90,20,60594867.84,25615915.4,96567.77626,3827.12606
10,IDAHO,37,137,36,125,97.2972973,91.24087591,58363998.77,3059877.328,33537.92183,7626.056894
