EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
5,ILLINOIS,273,1418,271,1295,99.26739927,91.325811,427150238.3,2239825215,4802367.626,193543.6346
5,INDIANA,195,1390,194,1359,99.48717949,97.76978417,2124827901,235251623,505623.66,297537.3641
7,IOWA,139,1274,133,1004,95.68345324,78.80690738,33882426.39,43250559.19,83290.53083,4242.59715
7,KANSAS,47,583,46,143,97.87234043,24.52830189,190005123.3,6052764.334,125999.1982,18528.48658
4,KENTUCKY,139,1561,138,1425,99.28057554,91.28763613,331630840.1,689946820,169638.0103,559180.3028
6,LOUISIANA,241,1197,233,308,96.68049793,25.73099415,5843056816,12021424.32,2.19719E+12,17255.65267
1,MAINE,76,346,72,231,94.73684211,66.76300578,88420483.5,4332578.005,36565.58633,3570.828298
9,MARIANA ISLANDS,2,2,2,1,100,50,333587.46,343.918,496.2222584,0
3,MARYLAND,99,554,87,509,87.87878788,91.87725632,48810095.86,63249890.66,2033649.877,39060.84629
1,MASSACHUSETTS,125,165,120,137,96,83.03030303,195599877.8,45264453.32,211857.7198,2543916.492
5,MICHIGAN,182,674,177,530,97.25274725,78.63501484,851642936,459524408.3,565830.714,496373.0269
5,MINNESOTA,101,588,94,253,93.06930693,43.02721088,144662180.8,540304.6701,2716593.318,180.5565918
4,MISSISSIPPI,88,1230,88,1194,100,97.07317073,48900388.62,85884736.4,84465.04607,4400200.894
7,MISSOURI,177,2851,172,2520,97.17514124,88.39003858,346864833.4,1367292004,604989904.2,18548797.36
8,MONTANA,33,171,31,157,93.93939394,91.8128655,111040440.2,143297247.1,15126.11344,21998.01374
7,NEBRASKA,55,662,55,578,100,87.31117825,86973080.45,3167078038,32731.49787,89165.64766
9,NEVADA,14,76,11,7,78.57142857,9.210526316,667493822.7,0,77398.24756,0
1,NEW HAMPSHIRE,51,45,50,34,98.03921569,75.55555556,94983215.47,508625.8521,31043397.23,5652.146354
2,NEW JERSEY,70,37,64,34,91.42857143,91.89189189,0,0,0,0
6,NEW MEXICO,38,110,37,105,97.36842105,95.45454545,33718180.59,10285817.84,5642456.399,9749.626069
2,NEW YORK,333,1289,331,1113,99.3993994,86.34600465,748937646.2,169816339.7,1415173.552,75693.44928
4,NORTH CAROLINA,219,978,208,883,94.97716895,90.28629857,87625885605,171731000.5,3501394715,308392.0041
8,NORTH DAKOTA,25,31,25,6,100,19.35483871,68342939.57,21505.894,17808.25919,13.76624441
5,OHIO,289,2868,287,2766,99.30795848,96.44351464,2641478914,15260240315,2427800.995,15864747.67
6,OKLAHOMA,103,363,103,362,100,99.72451791,158237317.7,280812502.9,51389.15935,37103.24934
10,OREGON,69,275,66,171,95.65217391,62.18181818,94286622.03,46903.45428,225037.1718,518.2170856
3,PENNSYLVANIA,403,4456,390,537,96.77419355,12.05116697,3120525955,70307576.37,75972500.87,53306.97753
2,PUERTO RICO,86,172,86,167,100,97.09302326,2627253974,176427370.9,1946173.647,92578.61617
1,RHODE ISLAND,25,83,25,72,100,86.74698795,29893663.93,2369748.216,78344.92181,11301.41138
4,SOUTH CAROLINA,166,298,164,290,98.79518072,97.31543624,134132545.5,5029286.397,197142.0349,39527.69748
8,SOUTH DAKOTA,24,338,24,294,100,86.98224852,15287121.24,627172965.3,6321.244013,41067.13314
4,TENNESSEE,161,1125,157,634,97.51552795,56.35555556,1149968181,389898797,128359840.6,363022.3126
6,TEXAS,717,2247,705,2144,98.32635983,95.41611037,797288115.2,3882142812,2993742.194,2160312.646
8,UTAH,38,131,38,86,100,65.64885496,334202991.2,325165075.4,3147517.047,34848.1471
1,VERMONT,34,99,34,62,100,62.62626263,18619695.9,0,16854.08985,0
2,VIRGIN ISLANDS,8,61,8,56,100,91.80327869,50238580.61,39602135.78,6608.768336,24025.89518
3,VIRGINIA,132,522,99,115,75,22.03065134,415760976.1,1773352.167,22182.68813,2037.362662
10,WASHINGTON,60,286,41,165,68.33333333,57.69230769,7574010.438,4201906.432,13215.73574,60084.56303
3,WEST VIRGINIA,93,1237,93,1134,100,91.6734034,485174187.1,1719129779,1391946.325,1045839.289
5,WISCONSIN,130,864,130,435,100,50.34722222,122132309.1,116904.3836,108621.6876,41.78595919
8,WYOMING,10,265,10,214,100,80.75471698,0,36749959.39,0,170464.5076
