EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,181,1425,181,1136,100,79.71929825,1674019920,699636796.8,764840.4124,4652217.819
10,ALASKA,43,39,34,17,79.06976744,43.58974359,130065897,30928206.66,58577.96951,21078.7129
9,AMERICAN SAMOA,4,3,4,2,100,66.66666667,4443602.157,1249179.07,166.1702342,123.1601281
9,ARIZONA,63,94,62,59,98.41269841,62.76595745,256230227.5,12076305.52,852791.084,5373.248552
6,ARKANSAS,117,688,116,687,99.14529915,99.85465116,455529146.8,44298451.23,200351.0901,18728.88742
9,CALIFORNIA,265,417,231,149,87.16981132,35.73141487,3861037070,10907965.38,3693917997,40214.02672
8,COLORADO,122,344,116,225,95.08196721,65.40697674,418498431,108628677.9,299683.454,4031.38482
1,CONNECTICUT,99,84,98,79,98.98989899,94.04761905,82359395.24,117422069.8,1111867.71,14097.27968
3,DELAWARE,17,38,16,33,94.11764706,86.84210526,198964630,21137837.98,309846.2553,115474.9917
3,DISTRICT OF COLUMBIA,4,10,4,8,100,80,22276107.27,59703.31765,56624.34191,274.4431937
4,FLORIDA,220,269,189,224,85.90909091,83.27137546,8585465461,157084069.9,2356614.858,16813.35209
4,GEORGIA,205,881,195,543,95.12195122,61.63450624,280925135.4,219554.7864,318272.1087,263.5390531
9,GUAM,6,13,5,7,83.33333333,53.84615385,8219162.634,0,262.0234595,0
6,GULF OF MEXICO,,3,,3,,100,,0,,0
4,GULF OF MEXICO EAST,,5,,0,,0,,,,
9,HAWAII,20,111,18,20,90,18.01801802,5221394588,9728677.366,165641.752,497.6584663
10,IDAHO,37,144,36,132,97.2972973,91.66666667,53501813.03,2054846386,31639.92875,101797.5113
5,ILLINOIS,273,1387,271,1250,99.26739927,90.12256669,306940780.6,1059530494,255200.5205,214147.7205
5,INDIANA,196,1394,194,1363,98.97959184,97.77618364,2168034026,793665074.8,58497576.8,183156.0607
7,IOWA,139,1215,133,975,95.68345324,80.24691358,21561862.38,33212247.15,48889.09888,2871.19783
7,KANSAS,20,340,20,46,100,13.52941176,38574944.69,7410306.002,115296.2773,33987.51342
4,KENTUCKY,138,1525,137,1387,99.27536232,90.95081967,375950576.1,636910391,1026090.362,262445.8943
6,LOUISIANA,241,1045,232,276,96.26556017,26.41148325,1995754440,12662666.96,4273855962,11424.90841
1,MAINE,76,338,72,224,94.73684211,66.27218935,87330467.55,9115262736,28896.17965,2299105.755
9,MARIANA ISLANDS,2,1,2,0,100,0,0,,0,
3,MARYLAND,97,636,89,574,91.75257732,90.25157233,47585525.06,115559363.1,4975029.495,52847.19413
1,MASSACHUSETTS,125,171,120,141,96,82.45614035,365675834.5,16967573.68,273359.4466,36315.08601
5,MICHIGAN,181,670,177,535,97.79005525,79.85074627,728091477.7,235274910.4,370618.4723,1364082.919
5,MINNESOTA,98,551,91,252,92.85714286,45.73502722,138639025,363314.5985,2107963.726,31.37934555
4,MISSISSIPPI,86,1180,86,1148,100,97.28813559,57844173.66,1500938310,68590.07707,913804.3963
7,MISSOURI,174,2714,168,2438,96.55172414,89.83050847,330003248.2,725582913.8,19561988.31,2555971.01
8,MONTANA,33,175,31,157,93.93939394,89.71428571,103682718.8,1138660789,15725.69786,102432.7038
7,NEBRASKA,55,637,55,569,100,89.32496075,132616254.7,1637834343,25134.78647,10545632.05
9,NEVADA,15,81,12,5,80,6.172839506,655705307.1,0,19367.73941,0
1,NEW HAMPSHIRE,51,45,50,33,98.03921569,73.33333333,55369531.52,418314.9066,5848956.036,936.0352304
2,NEW JERSEY,44,29,39,26,88.63636364,89.65517241,0,0,0,0
6,NEW MEXICO,37,109,36,104,97.2972973,95.41284404,31435384.16,1039619.099,13229.32065,1279.600013
2,NEW YORK,333,1292,331,1121,99.3993994,86.76470588,614628140.5,202678858.1,1623076.725,126358.1626
4,NORTH CAROLINA,213,888,204,820,95.77464789,92.34234234,1.52369E+11,509012676.2,6092144327,75596.31285
8,NORTH DAKOTA,25,12,25,4,100,33.33333333,41228896.94,21411.54626,19560.95799,0
5,OHIO,277,2752,276,2657,99.63898917,96.54796512,16226241928,13997725173,2813209.478,274902.2742
6,OKLAHOMA,103,361,103,357,100,98.89196676,183496880.2,223150986,69824.44515,143852.728
10,OREGON,69,271,67,175,97.10144928,64.57564576,94385434.15,28240.871,229344.4429,459.915119
3,PENNSYLVANIA,403,4524,387,533,96.02977667,11.7816092,1640016986,22296733.76,27268618.94,13611.05742
2,PUERTO RICO,84,165,84,162,100,98.18181818,3531094281,98914819.24,1176933.704,66360.65594
1,RHODE ISLAND,25,77,25,71,100,92.20779221,34608522.66,165645000.4,163500.5054,487737.7619
4,SOUTH CAROLINA,165,296,164,288,99.39393939,97.2972973,116338492.6,3795165.744,484696.3305,7274.504987
8,SOUTH DAKOTA,24,351,24,293,100,83.47578348,21380662.71,184364211,7796.795995,6393.886344
4,TENNESSEE,157,1075,147,640,93.63057325,59.53488372,498868893.6,64445745.25,274694.9444,284554.3098
6,TEXAS,709,2225,695,2130,98.02538787,95.73033708,830426358,4002146782,1412807.584,7470340.327
8,UTAH,38,119,38,83,100,69.74789916,382980072.5,313474185.1,649395.3697,4030.8419
1,VERMONT,33,87,33,52,100,59.77011494,10368917.89,0,23245.91842,0
2,VIRGIN ISLANDS,8,56,8,48,100,85.71428571,45962993.52,61319150.63,3359.191974,3809.195795
3,VIRGINIA,123,382,85,95,69.10569106,24.86910995,660226660.4,2517724.101,40575.29737,1048.69244
10,WASHINGTON,43,236,30,139,69.76744186,58.89830508,6524369.859,9164541.435,11976.17762,19263.93793
3,WEST VIRGINIA,92,1138,92,1036,100,91.03690685,436987098.2,1870446173,1489511.969,421552.5678
5,WISCONSIN,130,819,130,428,100,52.25885226,125352521,93398.6324,162336.0644,44.87960398
8,WYOMING,4,165,4,116,100,70.3030303,0,33108735.49,0,139011.9683
