EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,183,1510,183,1022,100,67.68211921,3061368193,1722455651,1672196.82,9253666.304
10,ALASKA,43,37,34,20,79.06976744,54.05405405,108608521.4,7671797.872,63312.79827,1156.416943
9,AMERICAN SAMOA,4,3,3,2,75,66.66666667,3480293.119,1545694.483,255.012133,26.04995485
9,ARIZONA,69,118,65,92,94.20289855,77.96610169,193650280,73327380.07,1200037.665,1897.586939
6,ARKANSAS,118,696,117,694,99.15254237,99.71264368,438189356,44367614.55,147843.4802,24541.69112
9,CALIFORNIA,275,388,238,223,86.54545455,57.4742268,4037268996,4228775.95,8933469.287,25567.88262
8,COLORADO,125,371,119,229,95.2,61.72506739,455695660.5,104839315.3,180977.4457,8379.87503
1,CONNECTICUT,99,81,99,76,100,93.82716049,91005068.52,74608053.73,1073866.785,5581.563418
3,DELAWARE,17,38,16,34,94.11764706,89.47368421,223456971,1594189.216,281037.6157,2536.953823
3,DISTRICT OF COLUMBIA,4,9,4,7,100,77.77777778,43004345.91,252860.2324,43406.69144,607.0223659
4,FLORIDA,223,293,190,247,85.20179372,84.3003413,7521887187,89371246.03,6955022.778,1385408.458
4,GEORGIA,210,846,205,554,97.61904762,65.48463357,175155025.6,9126274.868,1274352.393,14618.24455
9,GUAM,6,13,5,8,83.33333333,61.53846154,5454611.92,12249.92231,418.2511555,0.26593187
6,GULF OF MEXICO,,3,,3,,100,,0,,0
9,HAWAII,20,120,18,27,90,22.5,355111968.4,1779792.231,92457.07736,1852.599429
10,IDAHO,38,146,37,123,97.36842105,84.24657534,59029494.36,3309909.874,23745.7395,6587.357211
5,ILLINOIS,275,1419,274,1298,99.63636364,91.47286822,10776616719,3983792972,1711350.536,649425.0021
5,INDIANA,194,1381,193,1357,99.48453608,98.26212889,1905285375,180910776.3,415760.8845,235504.5832
7,IOWA,139,1327,132,1010,94.96402878,76.11152977,20260058.99,62924577.59,89782.20674,189198.7207
7,KANSAS,53,896,52,281,98.11320755,31.36160714,386609630.5,8395520.914,149436.1875,239.244915
4,KENTUCKY,141,1583,139,1448,98.58156028,91.47188882,362783957,685107259.6,118065.3474,862901.805
6,LOUISIANA,240,1295,234,341,97.5,26.33204633,2321646672,10706375.52,3476501.835,16584.28748
1,MAINE,76,391,72,242,94.73684211,61.89258312,82369289.79,3589180.023,27864.45836,3430.582107
9,MARIANA ISLANDS,2,2,2,1,100,50,894830.8913,140.8713518,553.9971527,0.033725883
3,MARYLAND,96,865,83,496,86.45833333,57.34104046,48088836.42,62350245.47,355400.7159,43586.99348
1,MASSACHUSETTS,124,163,119,136,95.96774194,83.43558282,144825044.8,18288735.2,253887.844,121874.4072
5,MICHIGAN,185,643,180,532,97.2972973,82.73716952,830934801.9,230485955.6,13726895.16,299344.7189
5,MINNESOTA,103,631,96,252,93.2038835,39.93660856,147863107.2,1004438.18,2536758.376,126.4923343
4,MISSISSIPPI,96,1260,95,1208,98.95833333,95.87301587,53018917.16,370236973.2,69137.31678,18602.74011
7,MISSOURI,178,2973,176,2613,98.87640449,87.89101917,342065442.2,2142380722,37133452.18,7317343.516
8,MONTANA,33,168,32,157,96.96969697,93.45238095,123581751,67242155.87,45508.16452,88958.8051
7,NEBRASKA,55,682,55,592,100,86.80351906,76567438.67,1930696402,94282.46431,20779826.61
9,NEVADA,13,83,10,21,76.92307692,25.30120482,626223654.6,0,15280.63575,0
1,NEW HAMPSHIRE,51,47,50,36,98.03921569,76.59574468,19549195.24,935346.8777,26230.40585,996.1978894
2,NEW JERSEY,100,51,92,46,92,90.19607843,0,0,0,0
6,NEW MEXICO,38,116,37,111,97.36842105,95.68965517,32687247.07,13723756.17,8792.426434,5736.973738
2,NEW YORK,333,1277,330,1096,99.0990991,85.82615505,1081798347,286669089.4,1762186.712,157292.8381
4,NORTH CAROLINA,221,1076,213,912,96.3800905,84.75836431,1.05762E+11,114447323.9,4225501810,148436.3258
8,NORTH DAKOTA,25,42,25,8,100,19.04761905,77224757.03,0,21357.11733,0
5,OHIO,295,2971,295,2868,100,96.53315382,2391246146,5639710796,1082181.687,3329885.806
6,OKLAHOMA,103,371,103,370,100,99.73045822,178382778.9,406396041.5,57958.16437,15232.54513
10,OREGON,69,284,66,169,95.65217391,59.50704225,89093584.83,38841.58004,193832.9314,485.1305609
3,PENNSYLVANIA,403,4271,389,539,96.52605459,12.61999532,1953410900,64158992.44,1495564.375,112584.5426
2,PUERTO RICO,85,173,85,171,100,98.84393064,1594513159,118044511.4,40557971106,645635.6762
1,RHODE ISLAND,25,81,25,73,100,90.12345679,26695730.22,816321.5415,36898.89656,8807.640495
4,SOUTH CAROLINA,166,301,163,292,98.19277108,97.00996678,450222200,5974207.345,237575.4223,85609.55785
8,SOUTH DAKOTA,24,327,24,282,100,86.23853211,12725378.13,573244826.9,6013.919003,16391.68719
4,TENNESSEE,162,1142,159,604,98.14814815,52.88966725,865054004.1,594224958.9,136451556.8,290370.7044
6,TEXAS,721,2252,712,2142,98.7517337,95.11545293,761420317.8,5492216877,1218379.207,1527223.019
8,UTAH,39,133,38,86,97.43589744,64.66165414,420625789.1,469229216.9,3283715.41,60621.63431
1,VERMONT,34,118,34,82,100,69.49152542,22955908.41,15549.99283,15052.21783,6.065004472
2,VIRGIN ISLANDS,8,66,8,63,100,95.45454545,49878982.54,71710114.9,6260.717653,44655.5344
3,VIRGINIA,135,636,100,131,74.07407407,20.59748428,403186778.3,7002124.863,80707.5604,3877.235166
10,WASHINGTON,68,338,49,199,72.05882353,58.87573964,102622119.4,5441278.474,62303.70735,57130.24047
3,WEST VIRGINIA,93,1277,93,1177,100,92.16914644,635324996,6532355509,20234476.76,592926.4476
5,WISCONSIN,130,891,130,439,100,49.2704826,109845403.2,100647.3166,49031.96131,33.0729505
8,WYOMING,15,495,15,441,100,89.09090909,4954666.588,430078555.8,813.1512262,95403725.52
